1.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,2.999999999999999889e-01
9.959677419354839856e-01,4.000000000000000222e-01
9.979959919839679339e-01,5.000000000000000000e-01
9.939637826961770228e-01,5.999999999999999778e-01
9.635627530364372362e-01,6.999999999999999556e-01
9.777777777777777457e-01,7.500000000000000000e-01
9.757085020242914908e-01,8.000000000000000444e-01
9.535353535353535692e-01,9.000000000000000222e-01
9.437751004016063927e-01,1.000000000000000000e+00
9.486166007905137976e-01,1.100000000000000089e+00
9.320000000000000506e-01,1.199999999999999956e+00
9.416498993963783315e-01,1.250000000000000000e+00
